Name,Materials,Industrials,Consumer Disc,Consumer Staples,Energy,Financial,Utilities,HealthCare\,Tech,Reits,Russell3k,SP500,FTSE AW ex US,MSCI EM,1M Tbill,MBS ETF,Int'l Bond,EMD Local FI,Junk Bonds,GOLD
Geography,US,US,US,US,US,US,US,US,US,US,US,US,International,EM,US,US,International,EM,US,US
Asset Class,EQT,EQT,EQT,EQT,EQT,EQT,EQT,EQT,EQT,EQT,EQT,EQT,EQT,EQT,FI,FI,FI,FI,FI,Comm
Earliest Ava,12/31/1998,12/31/1998,12/31/1998,12/31/1998,12/31/1998,12/31/1998,12/31/1998,12/31/1998,12/31/1998,4/27/2001,9/22/2010,9/9/2010,3/8/2007,3/23/2007,5/30/2007,11/23/2009,6/4/2013,2/24/2011,12/4/2007,11/18/2004
Latest,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019
Ticker,XLB US Equity,XLI US Equity,XLY US Equity,XLP US Equity,XLE US Equity,XLF US Equity,XLU US Equity,XLV US Equity,XLK US Equity,RWR US Equity,VTWO US Equity,VOOG US Equity,VEU US Equity,SPEM US Equity,GB1M Index,VMBS US Equity,BNDX US Equity,EBND US Equity,JNK US Equity,GLD US Equity
Periodicity,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
3/25/1999,0.003575385,0.002523662,0.030506612,0.007574825,0.002564103,0.022844683,-0.003376372,0.016947314,0.02356818,,,,,,0.000130056,,,,,
3/26/1999,-0.007841474,0.016364522,-0.006578947,-0.003468366,0.012787724,-0.00868345,-0.012980587,-0.007776,-0.005212851,,,,,,0.000129056,,,,,
3/29/1999,0.016524138,-0.000618204,0.024282561,0.012766558,0.027777778,0.022525166,-0.005144887,0.012316215,0.037553135,,,,,,0.000128917,,,,,
3/30/1999,-0.00212127,-0.011154377,0.00107931,-0.008593246,-0.018425553,-0.011624654,-0.016091954,-0.003316814,-0.001683502,,,,,,0.000126083,,,,,
3/31/1999,-0.014164306,0.010650627,-0.015069942,-0.021967127,-0.015018743,-0.011766256,-0.002336449,-0.005551156,-0.012646206,,,,,,0.000125972,,,,,
4/1/1999,0.011494253,0.021699712,-0.001094643,0.001773995,-0.001272678,0.002503741,0.021077283,0,0.015797758,,,,,,0.000128639,,,,,
4/5/1999,0.012072727,-0.005460194,0.013129103,0.005308786,0.024175064,0.019999606,0.008029358,0.022321429,0.034466896,,,,,,0.000124389,,,,,
4/6/1999,-0.017542757,0.001831359,0.005401296,-0.011151174,-0.009937868,-0.007350384,-0.005122175,0.00109345,0.008535073,,,,,,0.000124583,,,,,
4/7/1999,0.010715429,0.005480135,0.008592896,-0.001185046,-0.010037621,0.027162332,0.013151298,0.019081319,-0.002418691,,,,,,0.000120333,,,,,
4/8/1999,0.01413426,0.000604724,0.022362475,0.023173834,0.010139396,0.018027235,0.026524605,0.010166729,0.009693053,,,,,,0.000120139,,,,,
4/9/1999,-0.004879158,0.024213075,0.009376667,0.002322876,0.018818532,-0.002363549,-0.007145898,0.003179661,-0.0016,,,,,,0.000120583,,,,,
4/12/1999,0.029414006,0.00768227,0.00825592,0.016800896,0.007389163,0.017754625,0.014394659,0.025343146,-0.015223077,,,,,,0.000120583,,,,,
4/13/1999,0.012242694,0.021703715,-0.005119337,0.003416977,-0.001220538,-0.00116391,-0.016373799,-0.010298644,-0.015461005,,,,,,0.000119194,,,,,
4/14/1999,0.048387097,0.025831411,-0.022633745,-0.030095655,-0.012239878,-0.012804162,-0.014430163,-0.009366894,-0.024793388,,,,,,0.000118472,,,,,
4/15/1999,0.038461538,0.005594175,-0.002105263,-0.02458829,0.043368439,-0.009433743,0.010136937,-0.025210084,0.008474576,,,,,,0.000117361,,,,,
4/16/1999,0.011113086,0.008348143,0.003166245,0.004198791,0.031471734,-0.004761793,0.011148252,-0.009696552,-0.026890756,,,,,,0.000117472,,,,,
4/19/1999,0.010377513,-0.006622517,-0.022083664,-0.041839131,0.012092585,0,0.009921041,-0.027205176,-0.04835924,,,,,,0.000118,,,,,
4/20/1999,-0.01208458,0.003335111,0.012903226,0.018712895,-0.015927161,0.013156406,0.010917031,0.01901745,0.025408348,,,,,,0.000116972,,,,,
4/21/1999,0.00428232,0.000552823,0.016985138,0.031843265,-0.015030724,0.015349112,0.017817711,0.023049795,0.026548673,,,,,,0.000117,,,,,
4/22/1999,-0.015836266,0.00774587,0.002608768,0.012465769,0.017607512,0.01046144,-0.003181329,0.020387983,0.046121379,,,,,,0.000117361,,,,,
4/23/1999,0.014851485,-0.001096541,0.010934314,-0.001759434,-0.01268925,-0.003451044,-0.000531346,0.02260522,0.002059496,,,,,,0.000115389,,,,,
4/26/1999,-0.009756098,0.00494689,-0.006179187,-0.007046382,-0.022194393,-0.015012378,-0.005326508,-0.00153995,0.025494737,,,,,,0.00011625,,,,,
4/27/1999,0.019704433,0.012582932,0.00258984,0.001180839,0.031659677,0.017588114,0.005889507,0.001028217,-0.024860914,,,,,,0.000117528,,,,,
4/28/1999,0.053140097,0.003782601,-0.003618395,-0.014765755,0.033004254,-0.005761373,-0.00425758,-0.026748971,-0.013157895,,,,,,0.0001215,,,,,
4/29/1999,0.007453211,-0.011842391,-0.022821577,-0.007792806,0.030270852,0.003475029,0.014431628,-0.011626216,-0.010416,,,,,,0.000120694,,,,,
4/30/1999,-0.011951291,0.019607843,-0.003183015,-0.013294972,-0.016867,-0.013856529,-0.013174267,-0.007488329,-0.008000668,,,,,,0.000122472,,,,,
5/3/1999,0.023041475,0.004273504,0.024492397,0.023272037,0.024902247,0.011711666,0.014949292,0.019396552,0.008488964,,,,,,0.0001185,,,,,
5/4/1999,-0.006194595,0,-0.011432848,-0.008380124,0.001081641,-0.031252708,-0.00841663,-0.019027484,-0.015151515,,,,,,0.000122444,,,,,
